,id,longid,guid,name,entrytype,entrytype_text,description_short,rock_parent,,rock_parent2,,rock_root,rock_bgs_code,meteoritical_code
105,49823,1:1:49823:8,9491800e-8b63-4306-9ff3-c1dc7f4a38c4,EL4 chondrite meteorite,7,rock,An EL chondrite that is of petrologic type 4.,49820,,49843,,1,,EL4
131,49824,1:1:49824:7,5e6d25d6-2ced-4f9a-9f37-b729e8fe0353,EL5 chondrite meteorite,7,rock,An EL chondrite that is of petrologic type 5.,49820,,49844,,1,,EL5
147,49826,1:1:49826:5,4bc5babc-c7b3-4493-8636-fd6353cc12e9,EL6 chondrite meteorite,7,rock,An EL chondrite that is of petrologic type 6.,49820,,49845,,1,,EL6
171,49828,1:1:49828:3,bd810682-31ba-460a-9591-fdb9ad110c63,EL7 chondrite meteorite,7,rock,An EL chondrite that is of petrologic type 7. Note that perologic type 7 is not used consistently or widely accepted in the literature.,49820,,49846,,0,,EL7
227,49829,1:1:49829:2,54f0a81c-60d3-4a22-9069-ea992a60597a,K chondrite meteorite,7,rock,"A chondrite characterised by large amounts of dusty matrix and oxygen isotope compositions similar to carbonaceous chondrites, highly reduced mineral compositions and high metal abundances (6% to 10% by volume) that are most like enstatite chondrites, ...",49515,,0,,1,,K
5,49831,1:1:49831:7,9ce88674-912c-4688-ac58-23655b2ee316,K3 chondrite meteorite,7,rock,A K chondrite that is petrologic type 3.,49829,,49842,,1,,K3
29,49832,1:1:49832:6,80070857-c71c-4cad-88d9-3b9f07e12c83,K4 chondrite meteorite,7,rock,A K chondrite that is petrologic type 4.,49829,,49843,,1,,K4
47,49833,1:1:49833:5,1c902a1b-cb30-4b1d-b0b6-0537a4bba626,R chondrite meteorite,7,rock,"A chondrite, different from ordinary chondrite in having a more dusty matrix (about 50% of the rock), more oxidized, containing little metallic Fe-Ni and with a higher #17#O ratio. Most of the metal is in the form of sulfides. They appear to come from ...",49515,,0,,1,,R
73,49835,1:1:49835:3,293ffde0-c1c8-419b-8b2c-7fd2969fb410,R3 chondrite meteorite,7,rock,An R chondrite that is petrologic type 3.,49833,,49842,,1,,R3
60,49836,1:1:49836:2,a5086af1-8303-4517-a1d0-43da75cd7532,R4 chondrite meteorite,7,rock,An R chondrite that is petrologic type 4.,49833,,49843,,1,,R4
151,49837,1:1:49837:1,aedf0e32-94ff-4052-86a5-f668918183a3,R5 chondrite meteorite,7,rock,An R chondrite that is petrologic type 5.,49833,,49844,,1,,R5
176,49838,1:1:49838:0,1b07935a-fe4a-4727-83c9-2e032e012bdc,R6 chondrite meteorite,7,rock,An R chondrite that is petrologic type 6.,49833,,49845,,1,,R6
220,49839,1:1:49839:9,75bc40f0-24db-4c80-98b1-aab369d9ad43,Chondrite meteorite by petrological type,7,rock,An alternative classification grouping together all chondrite types by their petrological type rather than origin.,49515,,0,,1,,
211,49840,1:1:49840:5,92749329-a1d8-40c6-9dfa-a091cbe01a0d,Petrologic Type 1 chondrite meteorite,7,rock,Chondrites which have experienced a high degree of aqueous alteration. Most primary minerals have been replaced by secondary phases and chondrules are generally absent.,49839,,0,,1,,
235,49841,1:1:49841:4,490104d7-ba6e-49e8-b57c-acab34cc0e13,Petrologic Type 2 chondrite meteorite,7,rock,Chondrites which are characterized by abundant hydrated minerals and abundant fine-grained matrix; chondrules are present; sulfides are Ni-bearing.,49839,,0,,1,,
9,49842,1:1:49842:3,03ce93fc-96d4-433d-9671-4b8ef32c79c6,Petrologic Type 3 chondrite meteorite,7,rock,"Chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages. Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning. The type 3 chondrites may be divi...",49839,,0,,1,,
34,49843,1:1:49843:2,3488c0d2-c09b-4a16-8b21-ab3ef8b57852,Petrologic Type 4 chondrite meteorite,7,rock,"Chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix. Some of the low-Ca pyroxene grains may be monoclinic and exhibit...",49839,,0,,1,,
59,49844,1:1:49844:1,11d0d450-8846-4bc0-97da-36e4337928da,Petrologic Type 5 chondrite meteorite,7,rock,"Chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.",49839,,0,,1,,
85,49845,1:1:49845:0,5e218d5c-a00b-430c-97a3-63815d74e66a,Petrologic Type 6 chondrite meteorite,7,rock,"Chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines;...",49839,,0,,1,,
111,49846,1:1:49846:9,0583b9f0-c4e6-41c4-b655-01e4d07a48a9,Petrologic Type 7 chondrite meteorite,7,rock,Chondrites which have been metamorphosed to nearly the point of melting. Minerals are equilibrated and chondrules are indistinct or absent. This term is not used consistently or widely accepted in the literature.,49839,,0,,0,,
