,id,name,synid,ima_status,ima_approved
384,49693,L/LL3.6/3.7 chondrite meteorite,0,0,0
311,49695,L4 chondrite meteorite,0,0,0
310,49696,L4-an chondrite meteorite,0,0,0
312,49697,L4-melt breccia chondrite meteorite,0,0,0
313,49698,L4-melt rock chondrite meteorite,0,0,0
390,49699,L/LL4 chondrite meteorite,0,0,0
307,49700,L4/5 chondrite meteorite,0,0,0
316,49702,L5 chondrite meteorite,0,0,0
393,49703,L/LL5 chondrite meteorite,0,0,0
391,49705,L/LL5/6 chondrite meteorite,0,0,0
314,49708,L5/6 chondrite meteorite,0,0,0
317,49709,L5-melt breccia chondrite meteorite,0,0,0
319,49710,L6 chondrite meteorite,0,0,0
320,49711,L6-melt breccia chondrite meteorite,0,0,0
321,49712,L6-melt rock chondrite meteorite,0,0,0
396,49713,L/LL6 chondrite meteorite,0,0,0
395,49715,L/LL6-an chondrite meteorite,0,0,0
318,49716,L6/7 chondrite meteorite,0,0,0
322,49717,L7 chondrite meteorite,0,0,0
326,49718,L-imp melt chondrite meteorite,0,0,0
410,49719,L-melt breccia chondrite meteorite,0,0,0
411,49720,L-melt rock chondrite meteorite,0,0,0
412,49721,L-metal chondrite meteorite,0,0,0
398,49722,L/LL-melt rock chondrite meteorite,0,0,0
385,49723,L/LL3-6 chondrite meteorite,0,0,0
383,49724,L/LL3-5 chondrite meteorite,0,0,0
387,49725,L/LL(?)3 chondrite meteorite,0,0,0
305,49726,L(?)3 chondrite meteorite,0,0,0
399,49727,L(LL)~4 chondrite meteorite,0,0,0
400,49728,L/LL~4 chondrite meteorite,0,0,0
401,49729,L/LL~5 chondrite meteorite,0,0,0
402,49730,L/LL~6 chondrite meteorite,0,0,0
288,49731,L3-5 chondrite meteorite,0,0,0
291,49732,L3-6 chondrite meteorite,0,0,0
297,49733,L3-7 chondrite meteorite,0,0,0
286,49734,L3.5-5 chondrite meteorite,0,0,0
295,49735,L3.7-6 chondrite meteorite,0,0,0
298,49736,L3.8-5 chondrite meteorite,0,0,0
299,49737,L3.8-6 chondrite meteorite,0,0,0
309,49738,L4-6 chondrite meteorite,0,0,0
315,49739,L5-7 chondrite meteorite,0,0,0
416,49740,L~3 chondrite meteorite,0,0,0
418,49741,L~4 chondrite meteorite,0,0,0
417,49742,L~4-6 chondrite meteorite,0,0,0
419,49743,L~5 chondrite meteorite,0,0,0
420,49744,L~6 chondrite meteorite,0,0,0
370,49745,LL chondrite meteorite,0,0,0
350,49746,LL3 chondrite meteorite,0,0,0
335,49750,LL3/4 chondrite meteorite,0,0,0
329,49751,LL3.0 chondrite meteorite,0,0,0
327,49752,LL3.00 chondrite meteorite,0,0,0
328,49753,LL3.05 chondrite meteorite,0,0,0
332,49754,LL3.1 chondrite meteorite,0,0,0
330,49755,LL3.10 chondrite meteorite,0,0,0
331,49756,LL3.15 chondrite meteorite,0,0,0
333,49757,LL3.2 chondrite meteorite,0,0,0
334,49758,LL3.3 chondrite meteorite,0,0,0
338,49760,LL3.5 chondrite meteorite,0,0,0
341,49761,LL3.6 chondrite meteorite,0,0,0
340,49762,LL3.6/3.7 chondrite meteorite,0,0,0
344,49763,LL3.7 chondrite meteorite,0,0,0
347,49764,LL3.8 chondrite meteorite,0,0,0
349,49765,LL3.9 chondrite meteorite,0,0,0
348,49767,LL3.9/4 chondrite meteorite,0,0,0
356,49768,LL4 chondrite meteorite,0,0,0
351,49769,LL4/5 chondrite meteorite,0,0,0
357,49770,LL4-melt breccia chondrite meteorite,0,0,0
360,49772,LL5 chondrite meteorite,0,0,0
358,49773,LL5/6 chondrite meteorite,0,0,0
361,49774,LL5-melt breccia chondrite meteorite,0,0,0
364,49776,LL6 chondrite meteorite,0,0,0
363,49777,LL6-an chondrite meteorite,0,0,0
366,49778,LL6-melt breccia chondrite meteorite,0,0,0
362,49779,LL6/7 chondrite meteorite,0,0,0
372,49780,LL-imp melt chondrite meteorite,0,0,0
403,49781,LL-melt breccia chondrite meteorite,0,0,0
404,49782,LL-melt rock chondrite meteorite,0,0,0
339,49783,LL3-5 chondrite meteorite,0,0,0
342,49784,LL3-6 chondrite meteorite,0,0,0
343,49785,LL3.7-6 chondrite meteorite,0,0,0
345,49786,LL3.8-4 chondrite meteorite,0,0,0
346,49787,LL3.8-6 chondrite meteorite,0,0,0
353,49788,LL4-6 chondrite meteorite,0,0,0
355,49789,LL4-7 chondrite meteorite,0,0,0
354,49790,LL4/6 chondrite meteorite,0,0,0
365,49791,LL6(?) chondrite meteorite,0,0,0
367,49792,LL7(?) chondrite meteorite,0,0,0
369,49793,LL<3.5 chondrite meteorite,0,0,0
405,49794,LL~3 chondrite meteorite,0,0,0
407,49795,LL~4 chondrite meteorite,0,0,0
406,49796,LL~4/5 chondrite meteorite,0,0,0
408,49797,LL~5 chondrite meteorite,0,0,0
409,49798,LL~6 chondrite meteorite,0,0,0
371,49799,LL? chondrite meteorite,0,0,0
154,49800,Enstatite chondrite meteorite,0,0,0
134,49801,E chondrite meteorite,49800,0,0
38,49802,Anomalous E chondrite meteorite,0,0,0
153,49803,E-melt breccia chondrite meteorite,0,0,0
130,49804,E3 chondrite meteorite,0,0,0
36,49805,Anomalous E3 chondrite meteorite,0,0,0
131,49806,E4 chondrite meteorite,0,0,0
132,49807,E5 chondrite meteorite,0,0,0
37,49808,Anomalous E5 chondrite meteorite,0,0,0
133,49809,E6 chondrite meteorite,0,0,0
142,49810,EH chondrite meteorite,0,0,0
135,49811,EH3 chondrite meteorite,0,0,0
39,49812,Anomalous EH3/4 chondrite meteorite,0,0,0
137,49813,EH4 chondrite meteorite,0,0,0
138,49814,EH5 chondrite meteorite,0,0,0
139,49815,EH6 chondrite meteorite,0,0,0
140,49816,EH6-melt breccia chondrite meteorite,0,0,0
256,49817,Impact melted EH chondrite meteorite,0,0,0
143,49818,EH-melt rock chondrite meteorite,0,0,0
141,49819,EH7 chondrite meteorite,0,0,0
151,49820,EL chondrite meteorite,0,0,0
152,49821,EL-melt rock chondrite meteorite,0,0,0
144,49822,EL3 chondrite meteorite,0,0,0
145,49823,EL4 chondrite meteorite,0,0,0
146,49824,EL5 chondrite meteorite,0,0,0
147,49825,EL5-melt breccia chondrite meteorite,0,0,0
149,49826,EL6 chondrite meteorite,0,0,0
148,49827,EL6/7 chondrite meteorite,0,0,0
150,49828,EL7 chondrite meteorite,0,0,0
264,49829,K chondrite meteorite,0,0,0
263,49830,Kakangari chondrite meteorite,49829,0,0
261,49831,K3 chondrite meteorite,0,0,0
262,49832,K4 chondrite meteorite,0,0,0
488,49833,R chondrite meteorite,0,0,0
494,49834,Rumuruti chondrite meteorite,49833,0,0
481,49835,R3 chondrite meteorite,0,0,0
485,49836,R4 chondrite meteorite,0,0,0
486,49837,R5 chondrite meteorite,0,0,0
487,49838,R6 chondrite meteorite,0,0,0
86,49839,Chondrite meteorite by petrological type,0,0,0
453,49840,Petrologic Type 1 chondrite meteorite,0,0,0
454,49841,Petrologic Type 2 chondrite meteorite,0,0,0
455,49842,Petrologic Type 3 chondrite meteorite,0,0,0
456,49843,Petrologic Type 4 chondrite meteorite,0,0,0
457,49844,Petrologic Type 5 chondrite meteorite,0,0,0
458,49845,Petrologic Type 6 chondrite meteorite,0,0,0
459,49846,Petrologic Type 7 chondrite meteorite,0,0,0
465,49847,Primitive achondrite meteorite,0,0,0
25,49848,Acapulcoite meteorite,0,0,0
24,49849,Acapulcoite-lodranite meteorite,0,0,0
65,49850,Brachinite meteorite,0,0,0
238,49851,IAB complex iron meteorite,0,0,0
239,49852,IAB-MG iron meteorite,0,0,0
243,49853,IAB-sLL iron meteorite,0,0,0
244,49854,IAB-sLM iron meteorite,0,0,0
46,49856,Anomalous IAB-sLM iron meteorite,0,0,0
242,49857,IAB-sLH iron meteorite,0,0,0
241,49859,IAB-sHL iron meteorite,0,0,0
45,49860,Anomalous IAB-sHL iron meteorite,0,0,0
240,49861,IAB-sHH iron meteorite,0,0,0
510,49862,Ungrouped IAB iron meteorite,0,0,0
44,49863,Anomalous IAB iron meteorite,0,0,0
253,49864,IIICD iron meteorite,0,0,0
413,49865,Lodranite-an meteorite,0,0,0
513,49866,Ureilite meteorite,0,0,0
56,49867,Anomalous ureilite meteorite,0,0,0
462,49868,Polymict ureilite meteorite,0,0,0
514,49869,Winonaite meteorite,0,0,0
26,49872,Angrite meteorite,0,0,0
59,49873,Aubrite meteorite,0,0,0
509,49876,Ungrouped enstatite-rich achondrite meteorite,0,0,0
211,49877,HED achondrite meteorite,0,0,0
233,49878,Howardite meteorite,0,0,0
43,49879,Anomalous howardite meteorite,0,0,0
158,49880,Eucrite meteorite,0,0,0
41,49881,Anomalous eucrite meteorite,0,0,0
155,49882,Eucrite breccia meteorite,0,0,0
156,49883,Eucrite cumulate meteorite,0,0,0
157,49884,Eucrite melt breccia meteorite,0,0,0
438,49885,Mg-rich eucrite meteorite,0,0,0
159,49886,Eucrite monomict breccia meteorite,0,0,0
160,49887,Eucrite polymict breccia meteorite,0,0,0
498,49888,Unbrecciated eucrite meteorite,0,0,0
128,49889,Diogenite meteorite,0,0,0
461,49890,Polymict breccia diogenite meteorite,0,0,0
35,49891,Anomalous diogenite meteorite,0,0,0
450,49892,Orthopyroxenitic diogenite meteorite,0,0,0
446,49893,Olivine orthopyroxenitic diogenite meteorite,0,0,0
208,49894,Harzburgitic diogenite meteorite,0,0,0
440,49895,Noritic diogenite meteorite,0,0,0
129,49896,Dunitic diogenite meteorite,0,0,0
451,49898,Pallasite meteorite,0,0,0
460,49899,PMG pallasite meteorite,0,0,0
55,49901,Anomalous PMG pallasite meteorite,0,0,0
452,49902,PES pallasite meteorite,0,0,0
467,49904,Pyroxene pallasite meteorite,0,0,0
437,49905,Mesosiderite meteorite,0,0,0
429,49906,Mesosiderite-A meteorite,0,0,0
424,49907,Mesosiderite-A1 meteorite,0,0,0
425,49908,Mesosiderite-A2 meteorite,0,0,0
427,49909,Mesosiderite-A3 meteorite,0,0,0
428,49910,Mesosiderite-A4 meteorite,0,0,0
54,49911,Anomalous mesosiderite meteorite,0,0,0
434,49912,Mesosiderite-B meteorite,0,0,0
430,49913,Mesosiderite-B1 meteorite,0,0,0
431,49914,Mesosiderite-B2 meteorite,0,0,0
432,49915,Mesosiderite-B3 meteorite,0,0,0
433,49916,Mesosiderite-B4 meteorite,0,0,0
436,49917,Mesosiderite-C meteorite,0,0,0
435,49918,Mesosiderite-C2 meteorite,0,0,0
257,49919,Iron group meteorite,0,0,0
245,49920,IC iron meteorite,0,0,0
47,49921,Anomalous IC iron meteorite,0,0,0
246,49922,IIAB iron meteorite,0,0,0
48,49923,Anomalous IIAB iron meteorite,0,0,0
247,49924,IIC iron meteorite,0,0,0
248,49925,IID iron meteorite,0,0,0
49,49926,Anomalous IID iron meteorite,0,0,0
249,49927,IIE iron meteorite,0,0,0
50,49928,Anomalous IIE iron meteorite,0,0,0
250,49929,IIF iron meteorite,0,0,0
252,49930,IIIAB iron meteorite,0,0,0
51,49931,Anomalous IIIAB iron meteorite,0,0,0
254,49932,IIIE iron meteorite,0,0,0
52,49933,Anomalous IIIE iron meteorite,0,0,0
255,49934,IIIF iron meteorite,0,0,0
259,49935,IVA iron meteorite,0,0,0
53,49936,Anomalous IVA iron meteorite,0,0,0
260,49937,IVB iron meteorite,0,0,0
422,49938,Martian achrondite meteorite,0,0,0
495,49939,Shergottite meteorite,0,0,0
64,49941,Basaltic shergottite meteorite,0,0,0
447,49942,Olivine-phyric shergottite meteorite,0,0,0
325,49944,Lherzolitic shergottite meteorite,0,0,0
439,49945,Nakhlite meteorite,0,0,0
81,49947,Chassignite meteorite,0,0,0
57,49950,Anorthositic Lunar meteorite,0,0,0
62,49951,Basaltic breccia Lunar meteorite,0,0,0
60,49952,Basaltic and anorthositic Lunar meteorite,0,0,0
61,49953,Basaltic and gabbroic breccia Lunar meteorite,0,0,0
161,49954,Feldspathic breccia Lunar meteorite,0,0,0
63,49955,Basaltic Lunar meteorite,0,0,0
162,49956,Gabbroic Lunar meteorite,0,0,0
441,49957,Noritic Lunar meteorite,0,0,0
445,49958,Olivine-bearing gabbroic Lunar meteorite,0,0,0
497,49959,Trocolitic anorthositic Lunar meteorite,0,0,0
258,49960,Iron meteorite,0,0,0
421,49961,Magmatic iron meteorite,0,0,0
466,49962,Primitive iron meteorite,0,0,0
496,49963,Stony-iron meteorite,0,0,0
127,50269,Differentiated achondrite meteorite,0,0,0
58,50270,Asteroidal achondrite meteorite,0,0,0
415,50275,Lunar achondrite meteorite,0,0,0
100,50444,CM1-2 chondrite meteorite,0,0,0
221,50445,H/L3 chondrite meteorite,0,0,0
175,50446,H3-4 chondrite meteorite,0,0,0
223,50447,H/L4-5 chondrite meteorite,0,0,0
189,50448,H4-5 chondrite meteorite,0,0,0
227,50449,H/L6 chondrite meteorite,0,0,0
281,50450,L3.4 chondrite meteorite,0,0,0
282,50451,L3/4 chondrite meteorite,0,0,0
388,50452,L(LL)3 chondrite meteorite,0,0,0
389,50453,L/LL3 chondrite meteorite,0,0,0
377,50454,L/LL3.1 chondrite meteorite,0,0,0
379,50455,L/LL3.2 chondrite meteorite,0,0,0
308,50456,L4-5 chondrite meteorite,0,0,0
394,50457,L(LL)5 chondrite meteorite,0,0,0
392,50458,L/LL5-6 chondrite meteorite,0,0,0
397,50459,L(LL)6 chondrite meteorite,0,0,0
336,50460,LL3-4 chondrite meteorite,0,0,0
337,50461,LL3.4 chondrite meteorite,0,0,0
352,50462,LL4-5 chondrite meteorite,0,0,0
359,50463,LL5-6 chondrite meteorite,0,0,0
123,51872,CV3 carbonaceous chondrite meteorite,49579,0,0
125,51873,CV carbonaceous chondrite meteorite,49577,0,0
449,52197,Orthopyroxene-rich Martian meteorite,0,0,0
423,52198,Martian (basaltic breccia) meteorite,0,0,0
178,52199,H3.5 chondrite meteorite,0,0,0
176,52200,H3.4 chondrite meteorite,0,0,0
500,52201,Ungrouped Achondrite meteorite,0,0,0
507,52202,Ungrouped C chondrite meteorite,0,0,0
90,52203,CK3-6 chondrite meteorite,0,0,0
82,52204,CH/CBb chondrite meteorite,0,0,0
93,52205,CK4/5 chondrite meteorite,0,0,0
30,52206,Anomalous CK5 chondrite meteorite,0,0,0
95,52207,CK5/6 chondrite meteorite,0,0,0
136,52208,EH4/5 chondrite meteorite,0,0,0
468,52209,R3-4 chondrite meteorite,0,0,0
473,52210,R3-5 chondrite meteorite,0,0,0
474,52211,R3-6 chondrite meteorite,0,0,0
469,52212,R3.4 chondrite meteorite,0,0,0
471,52213,R3.5-4 chondrite meteorite,0,0,0
472,52214,R3.5-6 chondrite meteorite,0,0,0
475,52215,R3.6 chondrite meteorite,0,0,0
476,52216,R3.7 chondrite meteorite,0,0,0
479,52217,R3.8 chondrite meteorite,0,0,0
477,52218,R3.8-5 chondrite meteorite,0,0,0
478,52219,R3.8-6 chondrite meteorite,0,0,0
480,52220,R3.9 chondrite meteorite,0,0,0
470,52221,R3/4 chondrite meteorite,0,0,0
482,52222,R4-5 chondrite meteorite,0,0,0
484,52223,R4-6 chondrite meteorite,0,0,0
483,52224,R4/5 chondrite meteorite,0,0,0
426,52225,Mesosiderite-A3/4 meteorite,0,0,0
182,52226,H3.8 chondrite meteorite,0,0,0
185,52227,H3.9 chondrite meteorite,0,0,0
180,52228,H3.6 chondrite meteorite,0,0,0
181,52229,H3.7 chondrite meteorite,0,0,0
511,52231,Ungrouped iron meteorite,0,0,0
491,52237,Relict meteorite,0,0,0
489,52238,Relict H meteorite,0,0,0
490,52239,Relict iron meteorite,0,0,0
492,52240,Relict OC meteorite,0,0,0
493,52241,Relict ureilite meteorite,0,0,0
0,52338,Ureilite-pmict meteorite,49868,0,0
40,52360,Anomalous EH7 chondrite meteorite,0,0,0
1,52363,C-ung chondrite meteorite,52202,0,0
2,52364,C1-ung chondrite meteorite,49522,0,0
3,52365,C1/2-ung chondrite meteorite,49523,0,0
4,52366,C2-ung chondrite meteorite,49525,0,0
5,52367,C3-ung chondrite meteorite,49527,0,0
173,52368,H3.3 chondrite meteorite,0,0,0
499,52369,Unclassified stony meteorite,0,0,0
251,52370,IIG iron meteorite,0,0,0
512,52371,Ungrouped pallasite meteorite,0,0,0
27,52372,Anomalous aubrite meteorite,0,0,0
464,52373,Possible iron meteorite,0,0,0
442,52374,OC3 chondrite meteorite,0,0,0
6,52375,CK4-an chondrite meteorite,49549,0,0
7,52376,CK3-an chondrite meteorite,49545,0,0
8,52377,CM-an chondrite meteorite,49556,0,0
9,52378,C3.0-ung chondrite meteorite,49528,0,0
10,52379,C3/4-ung chondrite meteorite,49529,0,0
11,52380,IAB-sHL-an iron meteorite,49860,0,0
12,52381,IC-an iron meteorite,49921,0,0
13,52382,IIAB-an iron meteorite,49923,0,0
14,52383,IIE-an iron meteorite,49928,0,0
15,52384,IIIAB-an iron meteorite,49931,0,0
16,52385,IIIE-an iron meteorite,49933,0,0
17,52386,IVA-an iron meteorite,49936,0,0
18,52387,CK5-an chondrite meteorite,52206,0,0
19,52388,CM2-an chondrite meteorite,49558,0,0
20,52389,CR2-an chondrite meteorite,49574,0,0
21,52390,E3-an chondrite meteorite,49805,0,0
22,52391,E5-an chondrite meteorite,49808,0,0
23,52392,IAB-ung iron meteorite,49862,0,0
463,52393,Possible IAB complex iron meteorite,0,0,0
368,52394,LL7 chondrite meteorite,0,0,0
42,52395,Anomalous H3.8 chondrite meteorite,0,0,0
115,52396,CO3-melt breccia chondrite meteorite,0,0,0
163,52895,glass meteorite,10860,0,0
